Transaction ID,Customer ID,Customer Age Group,Product Category,Product Name,Unit Price (R),Quantity Purchased,Total Sale Amount (R),Date of Purchase,Payment Method
T0001,C9398,60+,Appliances,Washing Machine,18562.31,1,18562.31,2024-02-18,Credit Card
T0002,C6669,18-25,Appliances,Microwave,2748.35,5,13741.75,2024-06-15,Cash
T0003,C4306,41-60,Dining,Bar Stool,4316.15,5,21580.75,2024-08-23,Cash
T0004,C7767,41-60,Bedroom,Bedside Table,2753.83,4,11015.32,2024-04-24,Credit Card
T0005,C1220,26-40,Electronics,Tablet,8452.81,4,33811.24,2024-02-15,Store Account
T0006,C3772,26-40,Bedroom,Bedside Table,9833.83,4,39335.32,2024-11-03,Store Account
T0007,C1298,41-60,Dining,Dining Chair,13553.35,4,54213.4,2024-09-02,EFT
T0008,C9647,26-40,Appliances,Oven,6846.88,4,27387.52,2024-06-11,EFT
T0009,C9241,26-40,Appliances,Washing Machine,4572.58,5,22862.9,2024-04-19,Store Account
T0010,C5216,18-25,Dining,Bar Stool,7253.68,1,7253.68,2024-10-22,Credit Card
T0011,C2653,60+,Bedroom,Bedside Table,15140.09,3,45420.27,2024-02-25,Store Account
T0012,C9054,26-40,Appliances,Fridge,9410.26,5,47051.3,2024-04-24,EFT
T0013,C2957,41-60,Appliances,Washing Machine,9465.75,2,18931.5,2024-02-04,Cash
T0014,C1650,18-25,Electronics,Laptop,9249.55,3,27748.65,2024-05-25,Credit Card
T0015,C7541,41-60,Appliances,Oven,11898.76,1,11898.76,2024-03-19,Store Account
T0016,C1705,26-40,Appliances,Washing Machine,18100.89,5,90504.45,2024-11-19,EFT
T0017,C4813,26-40,Décor,Wall Art,8612.35,2,17224.7,2024-02-17,Credit Card
T0018,C7626,18-25,Bedroom,Bed Frame,3572.14,5,17860.7,2024-04-17,Cash
T0019,C3549,26-40,Living Room,Coffee Table,10611.18,2,21222.36,2024-02-26,Store Account
T0020,C2964,18-25,Appliances,Microwave,11284.34,5,56421.7,2024-11-06,EFT
T0021,C2656,26-40,Electronics,Speaker,3774.47,1,3774.47,2024-01-12,Credit Card
T0022,C2059,26-40,Electronics,Laptop,10490.76,5,52453.8,2024-10-07,Cash
T0023,C8056,60+,Appliances,Microwave,5228.9,1,5228.9,2024-06-22,Credit Card
T0024,C1903,18-25,Décor,Lamp,11405.41,1,11405.41,2024-05-12,Credit Card
T0025,C8840,41-60,Bedroom,Bed Frame,15572.49,4,62289.96,2024-05-06,Credit Card
T0026,C1519,60+,Living Room,Coffee Table,17797.84,1,17797.84,2024-12-25,EFT
T0027,C9079,60+,Living Room,TV Stand,18012.91,1,18012.91,2024-10-28,EFT
T0028,C6909,41-60,Living Room,Sofa,4826.28,4,19305.12,2024-01-16,Store Account
T0029,C7571,60+,Dining,Dining Chair,6759.79,5,33798.95,2024-05-18,Store Account
T0030,C2557,26-40,Appliances,Fridge,6878.62,1,6878.62,2024-07-12,Cash
T0031,C9768,26-40,Bedroom,Bedside Table,10831.56,5,54157.8,2024-01-09,EFT
T0032,C8117,41-60,Living Room,Bookshelf,4581.36,2,9162.72,2024-02-11,EFT
T0033,C3435,18-25,Electronics,Speaker,17140.04,1,17140.04,2024-11-13,Store Account
T0034,C9876,26-40,Living Room,Bookshelf,6019.72,3,18059.16,2024-04-21,Cash
T0035,C3418,18-25,Living Room,TV Stand,14801.4,4,59205.6,2024-07-24,EFT
T0036,C3202,60+,Electronics,Speaker,14738.19,4,58952.76,2024-12-28,EFT
T0037,C2227,60+,Appliances,Microwave,7956.9,1,7956.9,2024-07-14,Cash
T0038,C2457,60+,Dining,Dining Table,17058.19,4,68232.76,2024-11-28,Store Account
T0039,C7921,26-40,Dining,Dining Table,19241.24,4,76964.96,2024-04-08,Cash
T0040,C4508,41-60,Décor,Curtains,16078.94,5,80394.7,2024-12-26,EFT
T0041,C7350,18-25,Appliances,Fridge,736.19,4,2944.76,2024-04-18,Store Account
T0042,C4627,26-40,Appliances,Washing Machine,17272.7,4,69090.8,2024-04-26,Cash
T0043,C9811,41-60,Appliances,Microwave,9102.9,3,27308.7,2024-01-15,Credit Card
T0044,C3195,41-60,Dining,Dining Chair,12945.22,5,64726.1,2024-01-05,Cash
T0045,C6739,60+,Appliances,Oven,4426.81,5,22134.05,2024-01-25,Store Account
T0046,C5870,18-25,Bedroom,Bed Frame,10429.47,5,52147.35,2024-04-27,EFT
T0047,C4615,26-40,Living Room,Bookshelf,4787.5,2,9575.0,2024-06-19,Cash
T0048,C9043,60+,Living Room,Bookshelf,19181.97,2,38363.94,2024-05-26,Credit Card
T0049,C5951,26-40,Appliances,Microwave,14550.69,1,14550.69,2024-09-21,Store Account
T0050,C2921,26-40,Electronics,Speaker,18919.72,1,18919.72,2024-07-09,Credit Card
T0051,C2135,41-60,Dining,Dining Table,1534.29,5,7671.45,2024-03-11,Credit Card
T0052,C5100,26-40,Dining,Dining Chair,15447.18,2,30894.36,2024-11-28,Store Account
T0053,C2484,26-40,Living Room,Bookshelf,8172.4,1,8172.4,2024-09-28,Store Account
T0054,C1338,41-60,Bedroom,Bed Frame,7173.76,2,14347.52,2024-11-17,Credit Card
T0055,C5262,41-60,Living Room,Sofa,7547.61,2,15095.22,2024-05-17,Credit Card
T0056,C1410,26-40,Appliances,Microwave,10216.1,1,10216.1,2024-12-24,Store Account
T0057,C7082,18-25,Appliances,Fridge,11860.46,1,11860.46,2024-06-01,Credit Card
T0058,C4871,41-60,Living Room,Sofa,8313.82,1,8313.82,2024-04-10,Credit Card
T0059,C5474,41-60,Décor,Lamp,8286.7,4,33146.8,2024-09-26,EFT
T0060,C8971,60+,Décor,Lamp,4962.86,2,9925.72,2024-03-16,Store Account
T0061,C1043,26-40,Dining,Dining Chair,10529.13,4,42116.52,2024-09-09,Store Account
T0062,C8794,26-40,Electronics,Tablet,5509.71,1,5509.71,2024-06-26,Credit Card
T0063,C7412,60+,Appliances,Microwave,9584.51,3,28753.53,2024-10-03,Cash
T0064,C8900,26-40,Electronics,TV,1685.29,5,8426.45,2024-12-26,Credit Card
T0065,C5536,18-25,Appliances,Oven,19979.19,2,39958.38,2024-11-20,EFT
T0066,C3801,26-40,Appliances,Microwave,5053.11,1,5053.11,2024-07-20,Store Account
T0067,C4604,26-40,Décor,Curtains,13821.21,1,13821.21,2024-10-10,EFT
T0068,C5545,41-60,Electronics,Tablet,5850.5,3,17551.5,2024-08-09,EFT
T0069,C1682,41-60,Electronics,TV,19872.02,1,19872.02,2024-02-28,Cash
T0070,C6695,18-25,Dining,Dining Table,16045.15,2,32090.3,2024-03-21,Store Account
T0071,C8813,41-60,Appliances,Oven,7327.02,5,36635.1,2024-06-23,Store Account
T0072,C4975,41-60,Décor,Curtains,12386.02,4,49544.08,2024-09-27,Credit Card
T0073,C5756,60+,Bedroom,Bedside Table,17403.41,5,87017.05,2024-09-11,Cash
T0074,C9949,26-40,Electronics,Laptop,17513.09,1,17513.09,2024-06-21,Credit Card
T0075,C7776,26-40,Electronics,Speaker,6128.43,2,12256.86,2024-06-27,EFT
T0076,C1704,60+,Living Room,TV Stand,17454.61,1,17454.61,2024-04-02,Cash
T0077,C5306,60+,Décor,Curtains,10392.75,3,31178.25,2024-03-15,EFT
T0078,C6894,18-25,Bedroom,Wardrobe,5453.74,4,21814.96,2024-11-28,Credit Card
T0079,C9736,60+,Décor,Lamp,14102.29,1,14102.29,2024-10-02,Cash
T0080,C4069,60+,Electronics,Tablet,2235.16,3,6705.48,2024-06-27,Cash
T0081,C9078,60+,Décor,Curtains,3101.21,2,6202.42,2024-09-22,Cash
T0082,C4485,60+,Bedroom,Wardrobe,7884.75,3,23654.25,2024-09-15,EFT
T0083,C1895,18-25,Dining,Dining Chair,14437.85,3,43313.55,2024-02-17,Store Account
T0084,C1521,41-60,Bedroom,Bedside Table,4308.33,3,12924.99,2024-11-12,Cash
T0085,C2756,18-25,Bedroom,Wardrobe,5146.7,5,25733.5,2024-06-11,Cash
T0086,C7371,41-60,Living Room,Coffee Table,16233.64,1,16233.64,2024-12-12,EFT
T0087,C6270,26-40,Electronics,Laptop,10206.49,3,30619.47,2024-10-04,EFT
T0088,C3583,60+,Electronics,TV,12145.99,2,24291.98,2024-05-03,Cash
T0089,C4950,26-40,Dining,Bar Stool,7139.86,1,7139.86,2024-04-26,Credit Card
T0090,C1902,26-40,Décor,Curtains,6357.18,3,19071.54,2024-02-07,Cash
T0091,C7202,26-40,Bedroom,Bed Frame,16440.62,1,16440.62,2024-12-13,Cash
T0092,C6398,60+,Décor,Wall Art,14957.51,2,29915.02,2024-11-17,Credit Card
T0093,C9642,41-60,Bedroom,Bedside Table,18664.23,4,74656.92,2024-06-28,Credit Card
T0094,C5100,26-40,Dining,Dining Table,16061.5,3,48184.5,2024-02-06,EFT
T0095,C7910,41-60,Bedroom,Bed Frame,19019.82,5,95099.1,2024-08-07,Credit Card
T0096,C8479,18-25,Dining,Dining Chair,9966.09,1,9966.09,2024-09-14,Credit Card
T0097,C4310,18-25,Décor,Curtains,13816.55,4,55266.2,2024-06-18,Credit Card
T0098,C8756,18-25,Bedroom,Bedside Table,14175.46,2,28350.92,2024-03-17,Cash
T0099,C9534,60+,Living Room,Bookshelf,15101.59,1,15101.59,2024-08-06,Cash
T0100,C6798,26-40,Décor,Wall Art,14309.6,3,42928.8,2024-02-09,Cash
T0101,C1569,41-60,Living Room,TV Stand,17066.77,5,85333.85,2024-06-20,Store Account
T0102,C7395,26-40,Living Room,Sofa,6065.48,5,30327.4,2024-08-01,Store Account
T0103,C6377,41-60,Bedroom,Bed Frame,8308.76,5,41543.8,2024-01-10,Store Account
T0104,C3436,41-60,Electronics,Laptop,12129.6,2,24259.2,2024-04-22,Store Account
T0105,C2119,41-60,Electronics,Speaker,3663.71,5,18318.55,2024-02-27,EFT
T0106,C8257,60+,Décor,Curtains,7207.94,1,7207.94,2024-08-12,Store Account
T0107,C7466,26-40,Bedroom,Bedside Table,11595.52,4,46382.08,2024-07-17,Cash
T0108,C5903,18-25,Décor,Curtains,6164.8,4,24659.2,2024-12-17,Credit Card
T0109,C5538,26-40,Living Room,TV Stand,9848.46,1,9848.46,2024-02-26,EFT
T0110,C6101,26-40,Bedroom,Bedside Table,5321.51,3,15964.53,2024-01-19,Cash
T0111,C4587,18-25,Living Room,Bookshelf,16908.71,3,50726.13,2024-01-08,Cash
T0112,C6033,60+,Appliances,Oven,14103.41,2,28206.82,2024-08-08,Cash
T0113,C2432,41-60,Bedroom,Mattress,17211.17,5,86055.85,2024-12-26,Cash
T0114,C9632,60+,Appliances,Washing Machine,4263.77,4,17055.08,2024-11-02,Cash
T0115,C4770,18-25,Electronics,TV,10912.02,2,21824.04,2024-03-22,Store Account
T0116,C8042,41-60,Living Room,TV Stand,3733.54,4,14934.16,2024-12-23,EFT
T0117,C3555,41-60,Décor,Curtains,10460.92,5,52304.6,2024-05-24,EFT
T0118,C8778,18-25,Bedroom,Bed Frame,3985.99,1,3985.99,2024-10-22,Credit Card
T0119,C8146,26-40,Appliances,Microwave,12854.37,4,51417.48,2024-12-11,EFT
T0120,C5071,26-40,Appliances,Fridge,4034.75,5,20173.75,2024-12-27,EFT
T0121,C1760,18-25,Décor,Rug,12004.01,4,48016.04,2024-09-09,Cash
T0122,C8199,41-60,Electronics,Speaker,6642.4,1,6642.4,2024-11-06,Store Account
T0123,C4041,60+,Décor,Rug,7604.88,2,15209.76,2024-11-09,Cash
T0124,C6695,26-40,Living Room,Coffee Table,18946.47,1,18946.47,2024-09-13,EFT
T0125,C7392,41-60,Electronics,TV,1299.76,3,3899.28,2024-03-21,Store Account
T0126,C1173,18-25,Décor,Wall Art,12418.52,4,49674.08,2024-04-23,EFT
T0127,C5814,60+,Electronics,Speaker,3181.28,2,6362.56,2024-06-07,Cash
T0128,C8854,41-60,Living Room,TV Stand,16109.96,5,80549.8,2024-08-12,Store Account
T0129,C5501,18-25,Décor,Curtains,10133.85,1,10133.85,2024-05-04,Store Account
T0130,C7216,41-60,Bedroom,Bedside Table,6305.61,4,25222.44,2024-03-07,Credit Card
T0131,C7946,60+,Bedroom,Bedside Table,10857.81,3,32573.43,2024-07-26,Store Account
T0132,C2032,41-60,Electronics,Laptop,1409.55,3,4228.65,2024-12-20,EFT
T0133,C9423,60+,Living Room,Coffee Table,4029.58,2,8059.16,2024-12-09,Credit Card
T0134,C8697,18-25,Living Room,TV Stand,18117.06,1,18117.06,2024-06-16,EFT
T0135,C2773,60+,Living Room,TV Stand,7306.31,4,29225.24,2024-11-06,Credit Card
T0136,C1320,41-60,Living Room,Sofa,5388.8,3,16166.4,2024-07-19,EFT
T0137,C8313,41-60,Bedroom,Mattress,2004.13,3,6012.39,2024-02-03,Credit Card
T0138,C2904,18-25,Living Room,Sofa,13057.27,5,65286.35,2024-11-23,Credit Card
T0139,C5613,41-60,Appliances,Oven,18792.34,4,75169.36,2024-05-20,EFT
T0140,C1589,26-40,Dining,Dining Chair,573.06,5,2865.3,2024-06-13,Credit Card
T0141,C4227,18-25,Living Room,Coffee Table,1026.08,4,4104.32,2024-05-05,EFT
T0142,C7173,26-40,Bedroom,Bed Frame,9890.61,1,9890.61,2024-04-25,Store Account
T0143,C5305,26-40,Bedroom,Mattress,14220.07,1,14220.07,2024-11-07,Cash
T0144,C4061,41-60,Dining,Dining Chair,14963.08,5,74815.4,2024-05-27,Store Account
T0145,C2753,26-40,Electronics,Laptop,19080.45,4,76321.8,2024-04-24,Cash
T0146,C4155,41-60,Electronics,Tablet,899.72,3,2699.16,2024-09-08,Credit Card
T0147,C1367,18-25,Appliances,Washing Machine,9275.91,2,18551.82,2024-08-09,EFT
T0148,C5105,18-25,Electronics,Tablet,10400.98,3,31202.94,2024-02-25,Credit Card
T0149,C1529,18-25,Dining,Bar Stool,10933.44,4,43733.76,2024-04-19,Store Account
T0150,C5958,41-60,Electronics,Speaker,3889.74,3,11669.22,2024-09-10,EFT
T0151,C2414,41-60,Appliances,Microwave,4259.17,5,21295.85,2024-01-17,Cash
T0152,C4805,41-60,Appliances,Oven,1381.05,2,2762.1,2024-06-13,Credit Card
T0153,C4142,41-60,Appliances,Oven,11486.67,5,57433.35,2024-12-14,EFT
T0154,C4795,26-40,Appliances,Fridge,2602.76,1,2602.76,2024-01-23,Store Account
T0155,C4614,26-40,Bedroom,Wardrobe,11551.69,4,46206.76,2024-09-17,Credit Card
T0156,C3392,60+,Living Room,Sofa,8097.3,4,32389.2,2024-12-11,Credit Card
T0157,C6767,26-40,Bedroom,Bed Frame,8335.68,3,25007.04,2024-06-27,Credit Card
T0158,C2736,60+,Dining,Dining Table,10173.51,4,40694.04,2024-03-01,Credit Card
T0159,C6669,60+,Appliances,Microwave,12066.7,4,48266.8,2024-09-05,EFT
T0160,C7936,41-60,Electronics,Tablet,19408.74,3,58226.22,2024-04-04,Credit Card
T0161,C7085,60+,Appliances,Washing Machine,9405.24,5,47026.2,2024-05-19,Cash
T0162,C1925,41-60,Electronics,Tablet,16484.04,3,49452.12,2024-09-24,Store Account
T0163,C3920,60+,Appliances,Washing Machine,1633.09,5,8165.45,2024-10-03,Cash
T0164,C2570,26-40,Appliances,Microwave,12681.23,5,63406.15,2024-08-22,Store Account
T0165,C7233,60+,Bedroom,Wardrobe,6834.84,1,6834.84,2024-03-14,Store Account
T0166,C3911,60+,Bedroom,Wardrobe,19947.17,5,99735.85,2024-03-17,Cash
T0167,C3896,60+,Décor,Rug,9242.97,2,18485.94,2024-11-26,Credit Card
T0168,C9994,26-40,Décor,Curtains,13589.95,5,67949.75,2024-07-25,Cash
T0169,C3282,18-25,Dining,Bar Stool,11808.56,4,47234.24,2024-07-03,EFT
T0170,C4360,18-25,Bedroom,Mattress,646.06,4,2584.24,2024-05-26,Cash
T0171,C4855,26-40,Living Room,Coffee Table,14094.43,2,28188.86,2024-07-09,Cash
T0172,C4833,18-25,Bedroom,Bedside Table,5646.38,2,11292.76,2024-03-26,Cash
T0173,C9720,18-25,Décor,Rug,13147.74,1,13147.74,2024-02-09,Credit Card
T0174,C4074,26-40,Décor,Wall Art,5478.91,4,21915.64,2024-05-15,Store Account
T0175,C8002,26-40,Décor,Lamp,11844.7,3,35534.1,2024-11-21,Credit Card
T0176,C7009,60+,Décor,Curtains,3288.69,4,13154.76,2024-12-27,Credit Card
T0177,C1056,41-60,Bedroom,Bed Frame,9403.09,1,9403.09,2024-12-26,EFT
T0178,C7705,41-60,Décor,Curtains,12000.77,1,12000.77,2024-01-10,Cash
T0179,C5760,60+,Bedroom,Mattress,18097.23,1,18097.23,2024-02-22,Store Account
T0180,C6847,60+,Appliances,Oven,4337.44,5,21687.2,2024-07-16,Store Account
T0181,C2780,18-25,Bedroom,Wardrobe,4688.78,1,4688.78,2024-04-25,Credit Card
T0182,C5104,18-25,Appliances,Fridge,15155.29,5,75776.45,2024-09-12,Credit Card
T0183,C3002,41-60,Bedroom,Bedside Table,12255.61,4,49022.44,2024-08-17,Cash
T0184,C9306,60+,Electronics,TV,18956.52,5,94782.6,2024-06-17,EFT
T0185,C3834,26-40,Living Room,Coffee Table,17977.95,1,17977.95,2024-11-12,Credit Card
T0186,C8927,26-40,Dining,Dining Chair,10797.25,2,21594.5,2024-07-04,Store Account
T0187,C5794,26-40,Electronics,Laptop,2897.52,4,11590.08,2024-09-12,EFT
T0188,C3512,18-25,Dining,Dining Chair,17525.08,5,87625.4,2024-12-23,Credit Card
T0189,C9852,41-60,Décor,Wall Art,11559.99,5,57799.95,2024-05-01,Credit Card
T0190,C5463,60+,Bedroom,Wardrobe,3166.86,5,15834.3,2024-11-17,Cash
T0191,C9293,18-25,Electronics,TV,6915.78,1,6915.78,2024-10-05,Store Account
T0192,C6194,18-25,Electronics,Speaker,1652.47,1,1652.47,2024-10-16,Store Account
T0193,C2224,26-40,Living Room,Sofa,6107.71,2,12215.42,2024-11-22,Cash
T0194,C7693,41-60,Bedroom,Wardrobe,14852.37,4,59409.48,2024-10-26,Store Account
T0195,C9540,41-60,Dining,Dining Chair,15585.57,2,31171.14,2024-06-15,EFT
T0196,C4923,41-60,Décor,Rug,3701.1,4,14804.4,2024-04-24,Cash
T0197,C5416,60+,Décor,Lamp,17079.11,2,34158.22,2024-10-27,Store Account
T0198,C3736,60+,Appliances,Oven,11122.66,2,22245.32,2024-03-08,Credit Card
T0199,C1090,18-25,Electronics,Speaker,9368.73,1,9368.73,2024-08-22,Cash
T0200,C3323,60+,Living Room,Sofa,14842.38,4,59369.52,2024-11-20,Cash
